--------------------------------------------------------------------------------
This is a log file of running processes on machine created using automation script
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 23584}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 23760}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24164}
{'name': 'fsnotifier.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24348}
{'name': 'cmd.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24372}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24468}
{'name': 'svchost.exe', 'username': None, 'pid': 24620}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24920}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 24952}
{'name': 'java.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 25368}
{'name': 'python.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 26448}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 26708}
{'name': 'svchost.exe', 'username': None, 'pid': 27080}
{'name': 'servicehost.exe', 'username': None, 'pid': 27220}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 27564}
{'name': 'svchost.exe', 'username': None, 'pid': 27972}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 27976}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 27996}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28144}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28212}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28520}
{'name': 'pet.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28736}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28824}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28828}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28848}
{'name': 'LockApp.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28944}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 28992}
{'name': 'PhoneExperienceHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 29020}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 29084}
